raw_name,normalized_name,entity_type,confidence,rule,remarks
ABD RAJI & CO,ABDUL RAJI & CO,AUDITOR,HIGH,manual_alias,"Short form detected in audit tracker. Normalize to ABDUL RAJI & CO."
ABDUL RAJI & CO,ABDUL RAJI & CO,AUDITOR,HIGH,canonical,"Canonical auditor name."
AZMI & CO,AZMI ISMAIL & CO,AUDITOR,HIGH,manual_alias,"Short form detected in audit tracker. Normalize to AZMI ISMAIL & CO unless official evidence proves different firm."
AZMI ISMAIL,AZMI ISMAIL & CO,AUDITOR,MEDIUM,manual_alias,"Likely same firm; review if used as person name instead of firm."
AZMI ISMAIL & CO,AZMI ISMAIL & CO,AUDITOR,HIGH,canonical,"Canonical auditor name."
AZMI ISMAIL & CO.,AZMI ISMAIL & CO,AUDITOR,HIGH,punctuation_cleanup,"Remove trailing period."
T.L LIM,T.L.LIM,AUDITOR,HIGH,spacing_cleanup,"Normalize spacing/punctuation."
T.L.LIM,T.L.LIM,AUDITOR,HIGH,canonical,"Canonical auditor name based on tracker usage."
T.L. LIM,T.L.LIM,AUDITOR,HIGH,spacing_cleanup,"Normalize spacing/punctuation."
T.L.LIM & CO,T.L.LIM,AUDITOR,MEDIUM,manual_alias,"Review if official firm name includes & CO."
HALIM & CO,HALIM AHMAD & CO,AUDITOR,MEDIUM,manual_alias,"Likely same auditor group in tracker; confirm official firm name before final use."
HALIM AHMAD & CO,HALIM AHMAD & CO,AUDITOR,HIGH,canonical,"Canonical auditor name."
HALIM AHMAD,Halim AHMAD & CO,AUDITOR,LOW,manual_alias,"Review required; may be person not firm."
BAL & PARTNERS,BAL & PARTNERS,AUDITOR,HIGH,canonical,"Canonical auditor name."
BAL AND PARTNERS,BAL & PARTNERS,AUDITOR,HIGH,text_cleanup,"Normalize AND to ampersand."
AMINI,AMINI,AUDITOR_OR_ACCOUNTANT,MEDIUM,canonical_pending,"Single name in tracker; confirm whether person, firm, or internal PIC."
EZIANA & ASSOCIATE,EZIANA & ASSOCIATE,AUDITOR,HIGH,canonical,"Canonical auditor name as detected."
EZIANA AND ASSOCIATE,EZIANA & ASSOCIATE,AUDITOR,HIGH,text_cleanup,"Normalize AND to ampersand."
YUSOF SUFFIAN & CO,YUSOF SUFFIAN & CO,AUDITOR,HIGH,canonical,"Canonical auditor name."
YUSOF SUFFIAN AND CO,YUSOF SUFFIAN & CO,AUDITOR,HIGH,text_cleanup,"Normalize AND to ampersand."
FAIZAL ZAINAL & CO,FAIZAL ZAINAL & CO,AUDITOR,HIGH,canonical,"Canonical auditor name."
FAIZAL ZAINAL AND CO,FAIZAL ZAINAL & CO,AUDITOR,HIGH,text_cleanup,"Normalize AND to ampersand."
ISMAWADEE & CO,ISMAWADEE & CO,AUDITOR,HIGH,canonical,"Canonical auditor name."
ISMAWADEE AND CO,ISMAWADEE & CO,AUDITOR,HIGH,text_cleanup,"Normalize AND to ampersand."
